Episdoe: 1,  Total Steps: 80,  Num Updates: 0
Episdoe: 2,  Total Steps: 160,  Num Updates: 0
Episdoe: 3,  Total Steps: 240,  Num Updates: 0
Episdoe: 4,  Total Steps: 320,  Num Updates: 0
Episdoe: 5,  Total Steps: 400,  Num Updates: 0
Episdoe: 6,  Total Steps: 480,  Num Updates: 0
Episdoe: 7,  Total Steps: 560,  Num Updates: 0
Episdoe: 8,  Total Steps: 640,  Num Updates: 0
Episdoe: 9,  Total Steps: 720,  Num Updates: 0
Episdoe: 10,  Total Steps: 800,  Num Updates: 0
Episdoe: 11,  Total Steps: 880,  Num Updates: 0
Episdoe: 12,  Total Steps: 960,  Num Updates: 0
Episdoe: 13,  Total Steps: 1040,  Num Updates: 0
Episdoe: 14,  Total Steps: 1120,  Num Updates: 0
Episdoe: 15,  Total Steps: 1200,  Num Updates: 0
Episdoe: 16,  Total Steps: 1280,  Num Updates: 0
Episdoe: 17,  Total Steps: 1360,  Num Updates: 0
Episdoe: 18,  Total Steps: 1440,  Num Updates: 0
Episdoe: 19,  Total Steps: 1520,  Num Updates: 0
Episdoe: 20,  Total Steps: 1600,  Num Updates: 0
Episdoe: 21,  Total Steps: 1680,  Num Updates: 0
Episdoe: 22,  Total Steps: 1760,  Num Updates: 0
Episdoe: 23,  Total Steps: 1840,  Num Updates: 0
Episdoe: 24,  Total Steps: 1920,  Num Updates: 0
Episdoe: 25,  Total Steps: 2000,  Num Updates: 0
Episdoe: 26,  Total Steps: 2080,  Num Updates: 0
Episdoe: 27,  Total Steps: 2160,  Num Updates: 0
Episdoe: 28,  Total Steps: 2240,  Num Updates: 0
Episdoe: 29,  Total Steps: 2320,  Num Updates: 0
Episdoe: 30,  Total Steps: 2400,  Num Updates: 0
Episdoe: 31,  Total Steps: 2480,  Num Updates: 0
Episdoe: 32,  Total Steps: 2560,  Num Updates: 0
Episdoe: 33,  Total Steps: 2640,  Num Updates: 0
Episdoe: 34,  Total Steps: 2720,  Num Updates: 52
Episdoe: 35,  Total Steps: 2800,  Num Updates: 132
Episdoe: 36,  Total Steps: 2880,  Num Updates: 212
Episdoe: 37,  Total Steps: 2960,  Num Updates: 292
Episdoe: 38,  Total Steps: 3040,  Num Updates: 372
Episdoe: 39,  Total Steps: 3120,  Num Updates: 452
Episdoe: 40,  Total Steps: 3200,  Num Updates: 532
Episdoe: 41,  Total Steps: 3280,  Num Updates: 612
Episdoe: 42,  Total Steps: 3360,  Num Updates: 692
Episdoe: 43,  Total Steps: 3440,  Num Updates: 772
Episdoe: 44,  Total Steps: 3520,  Num Updates: 852
Episdoe: 45,  Total Steps: 3600,  Num Updates: 932
Episdoe: 46,  Total Steps: 3680,  Num Updates: 1012
Episdoe: 47,  Total Steps: 3760,  Num Updates: 1092
Episdoe: 48,  Total Steps: 3840,  Num Updates: 1172
Episdoe: 49,  Total Steps: 3920,  Num Updates: 1252
Episdoe: 50,  Total Steps: 4000,  Num Updates: 1332
Episdoe: 51,  Total Steps: 4080,  Num Updates: 1412
Episdoe: 52,  Total Steps: 4160,  Num Updates: 1492
Episdoe: 53,  Total Steps: 4240,  Num Updates: 1572
Episdoe: 54,  Total Steps: 4320,  Num Updates: 1652
Episdoe: 55,  Total Steps: 4400,  Num Updates: 1732
Episdoe: 56,  Total Steps: 4480,  Num Updates: 1812
Episdoe: 57,  Total Steps: 4560,  Num Updates: 1892
Episdoe: 58,  Total Steps: 4640,  Num Updates: 1972
Episdoe: 59,  Total Steps: 4720,  Num Updates: 2052
Episdoe: 60,  Total Steps: 4800,  Num Updates: 2132
Episdoe: 61,  Total Steps: 4880,  Num Updates: 2212
Episdoe: 62,  Total Steps: 4960,  Num Updates: 2292
Episdoe: 63,  Total Steps: 5040,  Num Updates: 2372
Episdoe: 64,  Total Steps: 5120,  Num Updates: 2452
Episdoe: 65,  Total Steps: 5200,  Num Updates: 2532
Episdoe: 66,  Total Steps: 5280,  Num Updates: 2612
Episdoe: 67,  Total Steps: 5360,  Num Updates: 2692
Episdoe: 68,  Total Steps: 5440,  Num Updates: 2772
Episdoe: 69,  Total Steps: 5520,  Num Updates: 2852
Episdoe: 70,  Total Steps: 5600,  Num Updates: 2932
Episdoe: 71,  Total Steps: 5680,  Num Updates: 3012
Episdoe: 72,  Total Steps: 5760,  Num Updates: 3092
Episdoe: 73,  Total Steps: 5840,  Num Updates: 3172
Episdoe: 74,  Total Steps: 5920,  Num Updates: 3252
Episdoe: 75,  Total Steps: 6000,  Num Updates: 3332
Episdoe: 76,  Total Steps: 6080,  Num Updates: 3412
Episdoe: 77,  Total Steps: 6160,  Num Updates: 3492
Episdoe: 78,  Total Steps: 6240,  Num Updates: 3572
Episdoe: 79,  Total Steps: 6320,  Num Updates: 3652
Episdoe: 80,  Total Steps: 6400,  Num Updates: 3732
Episdoe: 81,  Total Steps: 6480,  Num Updates: 3812
Episdoe: 82,  Total Steps: 6560,  Num Updates: 3892
Episdoe: 83,  Total Steps: 6640,  Num Updates: 3972
Episdoe: 84,  Total Steps: 6720,  Num Updates: 4052
Episdoe: 85,  Total Steps: 6800,  Num Updates: 4132
Episdoe: 86,  Total Steps: 6880,  Num Updates: 4212
Episdoe: 87,  Total Steps: 6960,  Num Updates: 4292
Episdoe: 88,  Total Steps: 7040,  Num Updates: 4372
Episdoe: 89,  Total Steps: 7120,  Num Updates: 4452
Episdoe: 90,  Total Steps: 7200,  Num Updates: 4532
Episdoe: 91,  Total Steps: 7280,  Num Updates: 4612
Episdoe: 92,  Total Steps: 7360,  Num Updates: 4692
Episdoe: 93,  Total Steps: 7440,  Num Updates: 4772
Episdoe: 94,  Total Steps: 7520,  Num Updates: 4852
Episdoe: 95,  Total Steps: 7600,  Num Updates: 4932
Episdoe: 96,  Total Steps: 7680,  Num Updates: 5012
Episdoe: 97,  Total Steps: 7760,  Num Updates: 5092
Episdoe: 98,  Total Steps: 7840,  Num Updates: 5172
Episdoe: 99,  Total Steps: 7920,  Num Updates: 5252
Episdoe: 100,  Total Steps: 8000,  Num Updates: 5332
Episdoe: 101,  Total Steps: 8080,  Num Updates: 5412
Episdoe: 102,  Total Steps: 8160,  Num Updates: 5492
Episdoe: 103,  Total Steps: 8240,  Num Updates: 5572
Episdoe: 104,  Total Steps: 8320,  Num Updates: 5652
Episdoe: 105,  Total Steps: 8400,  Num Updates: 5732
Episdoe: 106,  Total Steps: 8480,  Num Updates: 5812
Episdoe: 107,  Total Steps: 8560,  Num Updates: 5892
Episdoe: 108,  Total Steps: 8640,  Num Updates: 5972
Episdoe: 109,  Total Steps: 8720,  Num Updates: 6052
Episdoe: 110,  Total Steps: 8800,  Num Updates: 6132
Episdoe: 111,  Total Steps: 8880,  Num Updates: 6212
Episdoe: 112,  Total Steps: 8960,  Num Updates: 6292
Episdoe: 113,  Total Steps: 9040,  Num Updates: 6372
Episdoe: 114,  Total Steps: 9120,  Num Updates: 6452
Episdoe: 115,  Total Steps: 9200,  Num Updates: 6532
Episdoe: 116,  Total Steps: 9280,  Num Updates: 6612
Episdoe: 117,  Total Steps: 9360,  Num Updates: 6692
Episdoe: 118,  Total Steps: 9440,  Num Updates: 6772
Episdoe: 119,  Total Steps: 9520,  Num Updates: 6852
Episdoe: 120,  Total Steps: 9600,  Num Updates: 6932
Episdoe: 121,  Total Steps: 9680,  Num Updates: 7012
Episdoe: 122,  Total Steps: 9760,  Num Updates: 7092
Episdoe: 123,  Total Steps: 9840,  Num Updates: 7172
Episdoe: 124,  Total Steps: 9920,  Num Updates: 7252
Episdoe: 125,  Total Steps: 10000,  Num Updates: 7332
Episdoe: 126,  Total Steps: 10080,  Num Updates: 7412
Episdoe: 127,  Total Steps: 10160,  Num Updates: 7492
Episdoe: 128,  Total Steps: 10240,  Num Updates: 7572
Episdoe: 129,  Total Steps: 10320,  Num Updates: 7652
Episdoe: 130,  Total Steps: 10400,  Num Updates: 7732
Episdoe: 131,  Total Steps: 10480,  Num Updates: 7812
Episdoe: 132,  Total Steps: 10560,  Num Updates: 7892
Episdoe: 133,  Total Steps: 10640,  Num Updates: 7972
Episdoe: 134,  Total Steps: 10720,  Num Updates: 8052
Episdoe: 135,  Total Steps: 10800,  Num Updates: 8132
Episdoe: 136,  Total Steps: 10880,  Num Updates: 8212
Episdoe: 137,  Total Steps: 10960,  Num Updates: 8292
