Episdoe: 1,  Total Steps: 75,  Num Updates: 0
Episdoe: 2,  Total Steps: 150,  Num Updates: 0
Episdoe: 3,  Total Steps: 225,  Num Updates: 0
Episdoe: 4,  Total Steps: 300,  Num Updates: 0
Episdoe: 5,  Total Steps: 375,  Num Updates: 0
Episdoe: 6,  Total Steps: 450,  Num Updates: 0
Episdoe: 7,  Total Steps: 525,  Num Updates: 0
Episdoe: 8,  Total Steps: 600,  Num Updates: 0
Episdoe: 9,  Total Steps: 675,  Num Updates: 0
Episdoe: 10,  Total Steps: 750,  Num Updates: 0
Episdoe: 11,  Total Steps: 825,  Num Updates: 0
Episdoe: 12,  Total Steps: 900,  Num Updates: 0
Episdoe: 13,  Total Steps: 975,  Num Updates: 0
Episdoe: 14,  Total Steps: 1050,  Num Updates: 0
Episdoe: 15,  Total Steps: 1125,  Num Updates: 0
Episdoe: 16,  Total Steps: 1200,  Num Updates: 0
Episdoe: 17,  Total Steps: 1275,  Num Updates: 0
Episdoe: 18,  Total Steps: 1350,  Num Updates: 0
Episdoe: 19,  Total Steps: 1425,  Num Updates: 0
Episdoe: 20,  Total Steps: 1500,  Num Updates: 0
Episdoe: 21,  Total Steps: 1575,  Num Updates: 0
Episdoe: 22,  Total Steps: 1650,  Num Updates: 0
Episdoe: 23,  Total Steps: 1725,  Num Updates: 0
Episdoe: 24,  Total Steps: 1800,  Num Updates: 0
Episdoe: 25,  Total Steps: 1875,  Num Updates: 0
Episdoe: 26,  Total Steps: 1950,  Num Updates: 0
Episdoe: 27,  Total Steps: 2025,  Num Updates: 0
Episdoe: 28,  Total Steps: 2100,  Num Updates: 0
Episdoe: 29,  Total Steps: 2175,  Num Updates: 0
Episdoe: 30,  Total Steps: 2250,  Num Updates: 0
Episdoe: 31,  Total Steps: 2325,  Num Updates: 0
Episdoe: 32,  Total Steps: 2400,  Num Updates: 0
Episdoe: 33,  Total Steps: 2475,  Num Updates: 0
Episdoe: 34,  Total Steps: 2550,  Num Updates: 48
Episdoe: 35,  Total Steps: 2625,  Num Updates: 123
Episdoe: 36,  Total Steps: 2700,  Num Updates: 198
Episdoe: 37,  Total Steps: 2775,  Num Updates: 273
Episdoe: 38,  Total Steps: 2850,  Num Updates: 348
Episdoe: 39,  Total Steps: 2925,  Num Updates: 423
Episdoe: 40,  Total Steps: 3000,  Num Updates: 498
Episdoe: 41,  Total Steps: 3075,  Num Updates: 573
Episdoe: 42,  Total Steps: 3150,  Num Updates: 648
